City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,sofiyivka,48.0493,33.8746,46.71,65,100,12.35,UA,1683578563
284,mulayjah,27.271,48.4242,86.95,28,7,8.25,SA,1683578563
285,christchurch,-43.5333,172.6333,67.48,71,100,12.66,NZ,1683578564
286,labytnangi,66.6572,66.4183,9.82,89,41,6.76,RU,1683578564
287,badger,64.8,-147.5333,50.25,55,40,5.75,US,1683578564
288,arak,34.0917,49.6892,59.25,29,12,4.32,IR,1683578565
289,aitape,-3.1374,142.3475,79.38,88,99,4.29,PG,1683578565
290,murovani kurylivtsi,48.7235,27.5189,39.94,88,65,6.93,UA,1683578565
291,victorica,-36.2151,-65.4359,62.76,39,43,4.05,AR,1683578565
292,usinsk,65.9939,57.5281,31.69,96,100,16.98,RU,1683578566
293,soio,-6.1349,12.3689,79.81,87,42,4.85,AO,1683578566
294,rabaul,-4.1967,152.1721,80.74,80,98,3.69,PG,1683578566
295,eirunepe,-6.6603,-69.8736,78.44,90,70,4.65,BR,1683578566
296,kyren,51.6828,102.1408,47.73,61,100,2.51,RU,1683578567
297,aginskoye,51.1,114.53,42.15,45,9,5.06,RU,1683578567
298,cerro de ortega,18.75,-103.7667,90.3,49,3,9.01,MX,1683578567
299,zaozersk,69.4005,32.4476,32.76,96,100,9.91,RU,1683578567
300,nola,40.922,14.5329,61.65,90,100,1.9,IT,1683578568
301,gaalkacyo,6.7697,47.4308,81.75,63,41,15.19,SO,1683578568
302,plouzane,48.3833,-4.6167,57.52,94,100,6.91,FR,1683578568
303,zinjibar,13.1287,45.3807,84.63,66,27,7.58,YE,1683578568
304,nantucket,41.2835,-70.0995,66.31,67,0,10.36,US,1683578569
305,brisas barra de suchiate,14.55,-92.2167,95.18,65,5,13.31,MX,1683578569
306,komsomolets,53.7453,62.0708,42.57,41,78,11.23,KZ,1683578569
307,hobyo,5.3505,48.5268,81.43,80,34,24.52,SO,1683578569
308,kingston,17.997,-76.7936,86.95,73,20,21.85,JM,1683578362
309,aasiaat,68.7098,-52.8699,28.17,83,100,13.27,GL,1683578570
310,marco island,25.9363,-81.7157,90.03,60,0,4.0,US,1683578444
311,rahimah,26.7079,50.0619,88.02,53,5,9.1,SA,1683578570
312,naze,28.3667,129.4833,67.12,68,71,15.88,JP,1683578570
313,hadibu,12.65,54.0333,83.21,68,87,0.49,YE,1683578571
314,olonets,60.9847,32.9698,37.87,70,37,5.37,RU,1683578571
315,nova vicosa,-17.8919,-39.3719,76.84,84,2,8.08,BR,1683578571
316,vylkove,45.4021,29.586,51.44,83,100,6.76,UA,1683578571
